Age (ka),d18O,uncertainty
2255,3.39,0.06
2257.5,3.32,0.07
2260,3.21,0.08
2262.5,3.3,0.06
2265,3.45,0.1
2267.5,3.37,0.12
2270,3.48,0.06
2272.5,3.5,0.05
2275,3.87,0.07
2277.5,3.8,0.05
2280,3.84,0.04
2282.5,3.91,0.09
2285,3.8,0.05
2287.5,3.69,0.08
2290,3.68,0.05
2292.5,3.46,0.08
2295,3.45,0.06
2297.5,3.27,0.07
2300,3.28,0.11
2302.5,3.36,0.07
2305,3.35,0.06
2307.5,3.43,0.08
2310,3.61,0.04
2312.5,3.7,0.06
2315,3.74,0.08
2317.5,3.75,0.07
2320,3.76,0.04
2322.5,3.6,0.08
2325,3.52,0.04
2327.5,3.64,0.06
2330,3.64,0.07
2332.5,3.52,0.08
2335,3.39,0.07
2337.5,3.29,0.06
2340,3.2,0.09
2342.5,3.33,0.07
2345,3.37,0.06
2347.5,3.25,0.07
2350,3.58,0.06
2352.5,3.72,0.05
2355,3.8,0.05
2357.5,3.96,0.06
2360,3.92,0.03
2362.5,3.76,0.05
2365,3.87,0.04
2367.5,3.63,0.07
2370,3.72,0.05
2372.5,3.63,0.07
2375,3.39,0.07
2377.5,3.38,0.06
2380,3.37,0.05
2382.5,3.24,0.1
2385,3.33,0.07
2387.5,3.48,0.06
2390,3.54,0.08
2392.5,3.6,0.08
2395,3.41,0.09
2397.5,3.46,0.07
2400,3.48,0.09
2402.5,3.67,0.07
2405,3.69,0.07
2407.5,3.41,0.07
2410,3.29,0.08
2412.5,3.37,0.06
2415,3.37,0.06
2417.5,3.33,0.06
2420,3.35,0.07
2422.5,3.53,0.06
2425,3.49,0.08
2427.5,3.66,0.05
2430,3.93,0.06
2432.5,4.17,0.06
2435,4.09,0.06
2437.5,4.14,0.05
2440,4.01,0.04
2442.5,4,0.07
2445,3.95,0.07
2447.5,3.91,0.06
2450,3.73,0.06
2452.5,3.69,0.05
2455,3.45,0.05
2457.5,3.39,0.05
2460,3.39,0.06
2462.5,3.21,0.07
2465,3.25,0.06
2467.5,3.31,0.06
2470,3.32,0.06
2472.5,3.43,0.07
2475,3.57,0.08
2477.5,3.7,0.07
2480,3.7,0.05
2482.5,3.96,0.05
2485,3.99,0.1
2487.5,4.16,0.06
2490,3.83,0.08
2492.5,3.65,0.09
2495,3.62,0.05
2497.5,3.43,0.06
2500,3.18,0.08
2502.5,3.35,0.05
2505,3.48,0.05
2507.5,3.42,0.06
2510,3.65,0.05
2512.5,3.76,0.09
2515,3.89,0.07
2517.5,4.12,0.07
2520,4.13,0.07
2522.5,4.06,0.06
2525,4.13,0.03
2527.5,4.03,0.04
2530,3.89,0.06
2532.5,3.93,0.04
2535,3.73,0.09
2537.5,3.74,0.05
2540,3.63,0.07
2542.5,3.35,0.08
2545,3.27,0.06
2547.5,3.18,0.07
2550,3.21,0.06
2552.5,3.28,0.08
2555,3.43,0.06
2557.5,3.39,0.07
2560,3.37,0.06
2562.5,3.38,0.07
2565,3.63,0.05
2567.5,3.53,0.06
2570,3.47,0.05
2572.5,3.47,0.06
2575,3.41,0.07
2577.5,3.32,0.06
2580,3.23,0.05
2582.5,3.26,0.05
2585,3.16,0.08
2587.5,3.27,0.07
2590,3.43,0.06
2592.5,3.45,0.07
2595,3.47,0.05
2597.5,3.74,0.05
2600,3.9,0.05
2602.5,3.86,0.06
2605,3.81,0.06
2607.5,3.85,0.05
2610,3.62,0.07
2612.5,3.64,0.05
2615,3.44,0.08
2617.5,3.45,0.07
2620,3.27,0.05
2622.5,3.24,0.05
2625,3.31,0.08
2627.5,3.26,0.08
2630,3.23,0.06
2632.5,3.44,0.05
2635,3.45,0.07
2637.5,3.48,0.06
2640,3.66,0.04
2642.5,3.72,0.05
2645,3.84,0.06
2647.5,3.69,0.05
2650,3.51,0.09
2652.5,3.41,0.06
2655,3.35,0.07
2657.5,3.14,0.09
2660,3.23,0.08
2662.5,3.05,0.08
2665,3.25,0.05
2667.5,3.24,0.09
2670,3.19,0.06
2672.5,3.2,0.07
2675,3.22,0.08
2677.5,3.36,0.07
2680,3.37,0.07
2682.5,3.54,0.08
2685,3.68,0.06
2687.5,3.75,0.03
2690,3.61,0.06
2692.5,3.53,0.06
2695,3.61,0.08
2697.5,3.57,0.07
2700,3.61,0.05
2702.5,3.48,0.07
2705,3.79,0.04
2707.5,3.76,0.07
2710,3.7,0.05
2712.5,3.76,0.06
2715,3.87,0.04
2717.5,3.8,0.05
2720,3.8,0.06
2722.5,3.77,0.06
2725,3.66,0.08
2727.5,3.61,0.07
2730,3.47,0.05
2732.5,3.39,0.05
2735,3.27,0.06
2737.5,3.12,0.04
2740,3.18,0.05
2742.5,3.04,0.06
2745,3.15,0.05
2747.5,3.09,0.04
2750,3.13,0.05
2752.5,3.21,0.04
2755,3.19,0.05
2757.5,3.16,0.05
2760,3.27,0.05
2762.5,3.24,0.04
2765,3.24,0.05
2767.5,3.15,0.05
2770,3.13,0.04
2772.5,3.28,0.05
2775,3.31,0.04
2777.5,3.23,0.05
2780,3.18,0.05
2782.5,3.16,0.05
2785,3.19,0.05
2787.5,3.24,0.06
2790,3.21,0.06
2792.5,3.26,0.05
2795,3.41,0.07
2797.5,3.4,0.05
2800,3.5,0.06
2802.5,3.74,0.05
2805,3.78,0.05
2807.5,3.73,0.06
2810,3.65,0.07
2812.5,3.66,0.05
2815,3.63,0.05
2817.5,3.45,0.05
2820,3.38,0.06
2822.5,3.26,0.05
2825,3.15,0.08
2827.5,3.12,0.06
2830,3.16,0.06
2832.5,3.11,0.04
2835,3.17,0.08
2837.5,3.27,0.08
2840,3.34,0.05
2842.5,3.42,0.06
2845,3.38,0.07
2847.5,3.5,0.07
2850,3.4,0.06
2852.5,3.42,0.05
2855,3.44,0.06
2857.5,3.33,0.06
2860,3.19,0.08
2862.5,3.25,0.06
2865,3.37,0.05
2867.5,3.31,0.06
2870,3.3,0.09
2872.5,3.23,0.06
2875,3.23,0.05
2877.5,3.47,0.06
2880,3.48,0.06
2882.5,3.45,0.04
2885,3.5,0.08
2887.5,3.46,0.06
2890,3.49,0.04
2892.5,3.34,0.07
2895,3.29,0.05
2897.5,3.14,0.05
2900,3.22,0.06
2902.5,3.21,0.07
2905,3.32,0.05
2907.5,3.28,0.08
2910,3.27,0.04
2912.5,3.3,0.05
2915,3.49,0.08
2917.5,3.41,0.05
2920,3.51,0.05
2922.5,3.5,0.06
2925,3.5,0.04
2927.5,3.33,0.09
2930,3.43,0.1
2932.5,3.51,0.07
2935,3.31,0.06
2937.5,3.18,0.06
2940,3.09,0.08
2942.5,2.95,0.07
2945,2.95,0.04
2947.5,3.06,0.06
2950,2.93,0.06
2952.5,2.92,0.07
2955,3.16,0.05
2957.5,3.23,0.06
2960,3.08,0.08
2962.5,3.18,0.06
2965,3.16,0.05
2967.5,3.35,0.06
2970,3.3,0.06
2972.5,3.33,0.04
2975,3.48,0.06
2977.5,3.43,0.04
2980,3.45,0.07
2982.5,3.26,0.06
2985,3.07,0.06
2987.5,3.15,0.06
2990,3.18,0.07
2992.5,3.21,0.04
2995,3.2,0.07
2997.5,3.22,0.06
3000,3.36,0
3005,3.44,0.04
3010,3.46,0.04
3015,3.52,0.04
3020,3.49,0.04
3025,3.32,0.04
3030,3.13,0.04
3035,3.09,0.06
3040,3.23,0.05
3045,3.31,0.04
3050,3.33,0.06
3055,3.14,0.04
3060,2.95,0.06
3065,3.05,0.06
3070,3.09,0.06
3075,3.1,0.04
3080,3.09,0.05
3085,2.94,0.06
3090,3.18,0.05
3095,3.18,0.05
3100,3.08,0.05
3105,3.06,0.06
3110,3.13,0.04
3115,3.22,0.04
3120,3.26,0.03
3125,3.34,0.04
3130,3.38,0.03
3135,3.45,0.05
3140,3.38,0.05
3145,3.35,0.05
3150,3.16,0.05
3155,2.95,0.04
3160,3.01,0.05
3165,3.04,0.05
3170,3.14,0.04
3175,3.19,0.04
3180,3.16,0.05
3185,3.08,0.05
3190,2.95,0.05
3195,3.09,0.04
3200,3.02,0.07
3205,3,0.05
3210,3.02,0.05
3215,3.2,0.04
3220,3.13,0.04
3225,3.21,0.04
3230,3.13,0.03
3235,3.24,0.05
3240,3.04,0.05
3245,3.04,0.06
3250,3.03,0.04
3255,3.17,0.04
3260,3.16,0.04
3265,3.32,0.05
3270,3.27,0.05
3275,3.33,0.05
3280,3.26,0.04
3285,3.4,0.04
3290,3.65,0.04
3295,3.74,0.04
3300,3.71,0.03
3305,3.42,0.04
3310,3.37,0.05
3315,3.22,0.05
3320,3.1,0.04
3325,3.2,0.05
3330,3.21,0.05
3335,3.25,0.04
3340,3.41,0.04
3345,3.31,0.04
3350,3.18,0.04
3355,3.22,0.05
3360,3.17,0.04
3365,3.11,0.03
3370,3.15,0.04
3375,3.35,0.03
3380,3.35,0.03
3385,3.25,0.04
3390,3.16,0.05
3395,3.08,0.04
3400,3.13,0.04
3405,3.14,0.04
3410,3.08,0.05
3415,2.99,0.05
3420,3.1,0.05
3425,3.2,0.05
3430,3.11,0.04
3435,2.9,0.04
3440,2.9,0.03
3445,3.04,0.03
3450,3.12,0.03
3455,3.03,0.04
3460,3.07,0.06
3465,3.23,0.05
3470,3.09,0.04
3475,2.92,0.04
3480,2.89,0.05
3485,3,0.04
3490,2.98,0.04
3495,3.06,0.04
3500,2.93,0.05
3505,2.95,0.05
3510,2.97,0.06
3515,3.04,0.05
3520,3.11,0.04
3525,3.18,0.05
3530,3.14,0.04
3535,3.01,0.04
3540,2.92,0.04
3545,3.01,0.03
3550,3.11,0.04
3555,3.12,0.03
3560,3.14,0.03
3565,3.05,0.04
3570,2.89,0.04
3575,2.94,0.04
3580,3.18,0.03
3585,3.16,0.03
3590,3.15,0.05
3595,2.99,0.06
3600,3,0.04
3605,3.09,0.05
3610,2.93,0.04
3615,3.04,0.04
3620,3.2,0.05
3625,3.33,0.04
3630,3.41,0.04
3635,3.29,0.04
3640,3.05,0.05
3645,2.98,0.04
3650,2.96,0.03
3655,3.14,0.04
3660,3.18,0.05
3665,3.4,0.03
3670,3.45,0.03
3675,3.21,0.04
3680,3.05,0.03
3685,2.98,0.04
3690,2.92,0.04
3695,3.02,0.04
3700,3.05,0.05
3705,3.1,0.04
3710,3.28,0.05
3715,3.29,0.04
3720,2.97,0.04
3725,2.83,0.06
3730,3,0.04
3735,2.93,0.04
3740,2.96,0.04
3745,3.2,0.05
3750,3.08,0.05
3755,2.98,0.05
3760,2.93,0.04
3765,2.89,0.03
3770,3.09,0.03
3775,3.08,0.04
3780,3.05,0.04
3785,2.97,0.04
3790,3.06,0.06
3795,3.21,0.07
3800,3,0.06
3805,3.1,0.05
3810,3.05,0.04
3815,3,0.06
3820,2.99,0.05
3825,3.22,0.04
3830,3.26,0.04
3835,3.05,0.04
3840,2.86,0.04
3845,2.88,0.05
3850,2.9,0.05
3855,2.89,0.05
3860,2.89,0.04
3865,3.17,0.05
3870,3.16,0.05
3875,3.25,0.04
3880,3.01,0.06
3885,2.95,0.04
3890,2.89,0.04
3895,3.06,0.04
3900,2.92,0.04
3905,2.92,0.03
3910,2.87,0.03
3915,3.07,0.04
3920,3.08,0.03
3925,2.91,0.04
3930,2.89,0.04
3935,2.83,0.05
3940,2.97,0.05
3945,3.04,0.03
3950,3.02,0.04
3955,2.9,0.06
3960,2.89,0.05
3965,2.94,0.04
3970,3.01,0.05
3975,3.01,0.06
3980,3.06,0.05
3985,3.06,0.08
3990,3.24,0.06
3995,3.3,0.04
4000,3.23,0.05
4005,3.16,0.06
4010,2.96,0.06
4015,2.95,0.05
4020,3.07,0.05
4025,3.02,0.04
4030,3.12,0.04
4035,3.17,0.05
4040,3.2,0.05
4045,3.16,0.04
4050,3.06,0.04
4055,3.06,0.06
4060,3.1,0.04
4065,3.01,0.04
4070,3.08,0.05
4075,3.02,0.07
4080,3.01,0.04
4085,3.03,0.06
4090,3.07,0.04
4095,3.07,0.05
4100,2.87,0.05
4105,2.88,0.05
4110,2.87,0.04
4115,2.91,0.04
4120,2.94,0.04
4125,3,0.05
4130,2.82,0.03
4135,2.98,0.04
4140,2.92,0.04
4145,2.98,0.04
4150,3.11,0.05
4155,3.16,0.06
4160,3.11,0.05
4165,3,0.05
4170,3.06,0.09
4175,2.99,0.05
4180,2.87,0.09
4185,2.86,0.04
4190,2.95,0.06
4195,3.04,0.05
4200,3.11,0.04
4205,3.04,0.06
4210,3,0.04
4215,2.85,0.04
4220,3,0.04
4225,2.98,0.05
4230,2.91,0.04
4235,3.03,0.04
4240,3.03,0.04
4245,3.06,0.04
4250,2.99,0.03
4255,3.1,0.08
4260,2.95,0.06
4265,2.96,0.04
4270,2.88,0.09
4275,3.06,0.07
4280,2.9,0.04
4285,2.95,0.06
4290,3.02,0.04
4295,3.03,0.05
4300,3.04,0.05
4305,2.88,0.04
4310,2.86,0.05
4315,2.85,0.05
4320,2.84,0.06
4325,2.83,0.05
4330,3,0.05
4335,2.85,0.06
4340,2.73,0.05
4345,2.87,0.04
4350,2.84,0.08
4355,2.89,0.07
4360,3.03,0.04
4365,3.07,0.05
4370,2.95,0.05
4375,2.89,0.06
4380,2.98,0.04
4385,2.76,0.06
4390,2.83,0.06
4395,2.94,0.06
4400,2.99,0.04
4405,3.08,0.03
4410,3.03,0.05
4415,3.13,0.04
4420,2.97,0.05
4425,2.94,0.04
4430,2.88,0.05
4435,2.92,0.06
4440,2.88,0.05
4445,2.9,0.05
4450,3.03,0.05
4455,2.95,0.05
4460,2.85,0.04
4465,2.85,0.05
4470,2.87,0.06
4475,2.86,0.06
4480,2.95,0.05
4485,2.92,0.04
4490,3.1,0.07
4495,3.1,0.06
4500,3.12,0.06
4505,3.07,0.06
4510,2.93,0.05
4515,2.99,0.07
4520,2.79,0.07
4525,3.01,0.05
4530,3.04,0.05
4535,3.09,0.05
4540,2.87,0.04
4545,2.81,0.08
4550,2.88,0.05
4555,2.9,0.04
4560,3.02,0.05
4565,2.93,0.05
4570,2.98,0.04
4575,3.16,0.05
4580,3.11,0.04
4585,3.1,0.04
4590,3,0.04
4595,3,0.03
4600,2.98,0.04
4605,3.09,0.04
4610,3.14,0.06
4615,3.05,0.05
4620,3.04,0.05
4625,3.01,0.04
4630,3.02,0.06
4635,2.95,0.05
4640,2.95,0.06
4645,2.93,0.05
4650,3.09,0.05
4655,3.13,0.06
4660,2.88,0.05
4665,2.97,0.06
4670,2.86,0.05
4675,2.92,0.06
4680,2.86,0.06
4685,3.06,0.07
4690,3.17,0.05
4695,3.08,0.04
4700,3.13,0.04
4705,2.97,0.05
4710,2.92,0.06
4715,3.03,0.04
4720,2.95,0.06
4725,3.13,0.04
4730,3.14,0.05
4735,3.09,0.04
4740,2.91,0.04
4745,2.96,0.04
4750,3.04,0.04
4755,2.86,0.07
4760,2.92,0.05
4765,3,0.03
4770,3.2,0.06
4775,3.17,0.06
4780,3,0.04
4785,2.99,0.05
4790,2.93,0.05
4795,2.96,0.05
4800,2.99,0.03
4805,2.99,0.08
4810,3.15,0.05
4815,3.15,0.04
4820,3.03,0.05
4825,2.83,0.05
4830,2.85,0.06
4835,2.96,0.06
4840,3.04,0.06
4845,3.24,0.05
4850,3.3,0.05
4855,3.08,0.06
4860,3.06,0.05
4865,2.98,0.05
4870,2.88,0.06
4875,2.86,0.05
4880,2.91,0.06
4885,3.18,0.06
4890,3.27,0.1
4895,3.3,0.07
4900,3.15,0.06
4905,3.03,0.05
4910,2.85,0.06
4915,2.85,0.04
4920,2.96,0.05
4925,2.77,0.07
4930,2.91,0.04
4935,3.03,0.06
4940,3.07,0.05
4945,3.03,0.07
4950,3.05,0.06
4955,2.84,0.12
4960,2.86,0.07
4965,2.91,0.08
4970,2.93,0.09
4975,2.94,0.06
4980,3.17,0.06
4985,2.95,0.07
4990,2.74,0.05
4995,2.85,0.05
5000,2.79,0.04
5005,2.95,0.06
5010,2.94,0.06
5015,2.87,0.07
5020,2.74,0.07
5025,2.74,0.1
5030,2.77,0.06
5035,2.79,0.08
5040,3.06,0.06
5045,3.17,0.05
5050,3.04,0.07
5055,3.06,0.08
5060,2.85,0.06
5065,2.9,0.1
5070,2.93,0.08
5075,2.69,0.07
5080,2.78,0.09
5085,2.81,0.07
5090,2.66,0.06
5095,2.88,0.06
5100,3,0.11
5105,3.04,0.05
5110,2.92,0.04
5115,2.86,0.07
5120,2.8,0.08
5125,2.72,0.02
5130,2.68,0.06
5135,2.65,0.08
5140,2.94,0.07
5145,2.9,0.05
5150,2.89,0.09
5155,2.91,0.07
5160,2.82,0.13
5165,2.95,0.05
5170,3.02,0.09
5175,3.21,0.1
5180,3.11,0.08
5185,3.02,0.08
5190,3,0.07
5195,2.82,0.11
5200,2.86,0.08
5205,3,0.11
5210,2.96,0.06
5215,2.87,0.06
5220,2.84,0.09
5225,2.93,0.07
5230,2.98,0.05
5235,2.77,0.08
5240,2.92,0.07
5245,2.97,0.09
5250,3.06,0.09
5255,3.09,0.12
5260,3.01,0.07
5265,2.98,0.08
5270,2.8,0.07
5275,2.89,0.11
5280,2.89,0.08
5285,2.8,0.06
5290,2.92,0.03
5295,2.97,0.06
5300,2.91,0.06
5305,2.79,0.04
5310,2.79,0.09
5315,2.84,0.07
5320,2.91,0.09
